time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.odom_x,.odom_y,.odom_theta,.meas_rho,.meas_beta,.meas_theta,.delta_t,.gt_rho,.gt_beta,.gt_theta,.case0_x,.case0_y,.case0_t,rho,bearing,.case1_t,.case2_x,.case2_y,.case2_t,.case3_x,.case3_y,.case3_t,.case4_x,.case4_y,.case4_t,.case4_vj,.case4_wj
1970/01/01/09:00:05.874000,81,5,873000000,0,1.320293371,0.394600397,0.01548896571,1.378000021,16.63999939,355.1940324,0.1,-0.326266,1.97932,6.199305348,-0.09070418775,-2.054191113,6.199608326,-0.4003945046,1.758907742,0.843265295,-0.0943852216,-2.029172897,5.956324581,-0.09423834085,-2.058971167,6.146529857,-0.1519667655,-2.019117832,0.8847423044,0.06271463633,0.07527672499
1970/01/01/09:00:05.974000,82,5,973000000,0,1.316409309,0.4039745795,0.01563660678,1.376999974,17.05999947,355.1358713,0.1,-0.340243,1.97743,6.198290246,-0.08301258087,-2.070922852,6.198092461,-0.4146633195,1.752603901,0.7903988957,-0.07919511199,-2.023676157,5.968264316,-0.08675651997,-2.076383114,6.140240316,-0.04117809236,-2.107451677,0.8928755387,0.0488338694,0.05529989675
1970/01/01/09:00:06.123000,83,6,25000000,0,1.323585923,0.4112376548,0.01317536219,1.386000037,17.26000023,355.260904,0.052,-0.354375,1.974985,6.200472478,-0.07946477085,-2.075038195,6.197908878,-0.4585209641,1.778446546,0.7841643095,-0.07260216027,-2.021644354,5.973816369,-0.08305381984,-2.079962015,6.140315626,-0.04006590694,-2.084471226,0.8972388619,0.05657856166,0.05436356738
1970/01/01/09:00:06.124000,84,6,73000000,0,1.326456327,0.3949296861,0.01276025756,1.383999944,16.57999992,355.0059763,0.048,-0.368917,1.972698,6.196023151,-0.08535324037,-2.082352161,6.196801186,-0.4670281724,1.789383193,0.7686353326,-0.0852233693,-2.043524742,5.964222316,-0.08901101351,-2.087356329,6.136493806,-0.1269493103,-2.09500432,0.8990540043,0.04400892928,0.05808806419
1970/01/01/09:00:06.174000,85,6,173000000,0,1.332242047,0.3822659167,0.01264670807,1.386000037,16.01000023,355.008699,0.1,-0.383123,1.970466,6.196070672,-0.07880675048,-2.107838869,6.195517063,-0.4626927542,1.800966546,0.7045984864,-0.07143335789,-2.034085751,5.975176964,-0.08279715478,-2.113289595,6.126626645,-0.03582078218,-2.168776989,0.8986874851,0.04158248007,0.04853851348
1970/01/01/09:00:06.273000,86,6,224000000,0,1.324301654,0.4089269276,0.01307086121,1.386000037,17.15999985,354.9856955,0.051,-0.396795,1.968455,6.195669185,-0.0714975521,-2.105824471,6.195353985,-0.457235686,1.801532779,0.7189475894,-0.05738025531,-2.020657778,5.985986326,-0.07512137294,-2.110222578,6.130128939,0.003733992577,-2.104312181,0.9003979078,0.05469352752,0.04788738862
1970/01/01/09:00:06.324000,87,6,273000000,0,1.402103386,0.3576523069,0.01367004437,1.447000027,14.31000042,354.9446053,0.049,-0.410733,1.966627,6.194952024,-0.06630302221,-2.092971325,6.195091248,-0.463431145,1.795246022,0.7600252032,-0.04852166399,-2.015016317,5.993394617,-0.069476448,-2.096880436,6.138017077,-0.002509368584,-2.057432413,0.9042376322,0.06744854152,0.0486497134
1970/01/01/09:00:06.373000,88,6,323000000,0,1.377339449,0.3731824929,0.01405488155,1.427000046,15.15999985,354.9248928,0.05,-0.424607,1.964728,6.194607977,-0.05536848307,-2.101594448,6.194638252,-0.4780051372,1.787197242,0.7479996085,-0.02875374444,-1.992546439,6.008760546,-0.05836685002,-2.104980707,6.137821365,0.05381579697,-2.116222143,0.9107128037,0.06620479375,0.04356490821
1970/01/01/09:00:06.423000,89,6,373000000,0,1.365594217,0.3590212645,0.01466975031,1.411999941,14.72999954,354.8883296,0.05,-0.438374,1.962392,6.193969829,-0.05433912575,-2.115550756,6.193723202,-0.4828448643,1.776668367,0.7246282101,-0.02986651845,-1.999846458,6.007958118,-0.05745324492,-2.119317055,6.133361954,-0.01661348157,-2.145763159,0.9180257333,0.05178813636,0.04508652911
1970/01/01/09:00:06.473000,90,6,423000000,0,1.342596789,0.3713258417,0.01485500749,1.393000007,15.46000004,354.8891081,0.05,-0.451954,1.960271,6.193983416,-0.05239587277,-2.096244574,6.193860054,-0.5017753257,1.767970566,0.7646586299,-0.02936397307,-2.001926422,6.008390818,-0.05502821133,-2.099132061,6.141149927,-0.02532739751,-2.050348997,0.9260367945,0.0639051348,0.04737975448
1970/01/01/09:00:06.573000,91,6,473000000,0,1.331179349,0.3965888339,0.01517933578,1.389000058,16.59000015,354.8461831,0.05,-0.465456,1.957632,6.193234232,-0.06394159049,-2.090718031,6.193309307,-0.5107802153,1.75839132,0.7832116485,-0.05515023693,-2.041643381,5.988816951,-0.0665030852,-2.093750715,6.141564001,-0.1544160247,-2.067422628,0.9342572953,0.04309169203,0.0540343672
1970/01/01/09:00:06.623000,92,6,523000000,0,1.333123707,0.4040175744,0.01436115548,1.393000007,16.86000061,355.1640747,0.05,-0.478864,1.954692,6.198782488,-0.0605372712,-2.103614092,6.193707466,-0.5274410161,1.765285962,0.7602337599,-0.0495573096,-2.039027929,5.992418412,-0.06309126318,-2.106476784,6.138296549,-0.05738957971,-2.133110523,0.9420065572,0.04458934069,0.0480376631
1970/01/01/09:00:06.624000,93,6,573000000,0,1.318838213,0.3994368864,0.01384382291,1.378000021,16.85000038,354.7230723,0.05,-0.492363,1.951847,6.191085545,-0.06121752411,-2.107860804,6.192420959,-0.5341916981,1.771386103,0.7592899203,-0.05191569775,-2.050338984,5.991211627,-0.06382353604,-2.11149931,6.137509395,-0.065009363,-2.112822771,0.948795888,0.05694771558,0.04650973901
