null_x,null_y,null_theta
-0.796577,-2.69898,6.04025
-0.804468,-2.70068,6.03938
-0.807378,-2.70118,6.03894
-0.814498,-2.70169,6.03768
-0.817514,-2.70219,6.03734
-0.826065,-2.70361,6.03627
-0.830212,-2.70493,6.03594
-0.832454,-2.7056,6.0357
-0.837749,-2.7066,6.03541
-0.814511,-2.7136,6.04119
-0.848594,-2.70857,6.03423
-0.854637,-2.70921,6.03306
-0.864482,-2.71009,6.03191
-0.841496,-2.71708,6.03753
-0.859259,-2.71493,6.03403
-0.847944,-2.7189,6.03729
-0.866188,-2.71653,6.03373
-0.856965,-2.72,6.03626
-0.890174,-2.71479,6.02952
-0.895834,-2.71553,6.02859
-0.899319,-2.71565,6.028
-0.905985,-2.71598,6.02723
-0.91319,-2.71745,6.02674
-0.89007,-2.72457,6.03227
-0.92384,-2.71895,6.02566
-0.929323,-2.71959,6.02511
-0.932139,-2.71992,6.02482
-0.940612,-2.7208,6.02355
-0.947836,-2.72078,6.02258
-0.924971,-2.72785,6.02832
-0.941892,-2.72556,6.02505
-0.962551,-2.72309,6.02116
-0.965911,-2.72325,6.02081
-0.958318,-2.72721,6.02353
-0.948468,-2.73082,6.02595
-0.98279,-2.72461,6.01893
-0.98887,-2.7249,6.01821
-0.99281,-2.72467,6.01766
-0.997002,-2.72556,6.01762
-0.999479,-2.72589,6.01736
-1.00518,-2.72621,6.01649
-1.01382,-2.72666,6.01576
-1.02241,-2.72709,6.01467
-1.03114,-2.72746,6.01355
-1.03879,-2.72809,6.01324
-1.04692,-2.72854,6.01219
-1.0245,-2.7356,6.01791
-1.0426,-2.73235,6.01448
-1.0644,-2.72888,6.01038
-1.06745,-2.72892,6.00989
-1.07317,-2.72901,6.00919
-1.07611,-2.72905,6.00885
-1.06773,-2.73317,6.01201
-1.08917,-2.72958,6.00777
-1.09219,-2.72955,6.00738
-1.09803,-2.72949,6.00666
-1.10106,-2.72944,6.00655
-1.10688,-2.72936,6.00594
-1.10989,-2.72931,6.00538
-1.11565,-2.72923,6.00469
-1.09322,-2.73637,6.01054
-1.10864,-2.7338,6.00797
-1.13176,-2.72937,6.00325
-1.13419,-2.72927,6.00295
-1.14065,-2.729,6.00213
-1.14969,-2.72859,6.00136
-1.15265,-2.72845,6.00078
-1.15848,-2.72818,6.0001
-1.1614,-2.72807,5.99976
-1.16715,-2.72889,6.00011
-1.17376,-2.72821,5.9989
-1.17677,-2.72802,5.99855
-1.16972,-2.73139,6.00084
-1.19189,-2.72689,5.99695
-1.19488,-2.72666,5.99645
-1.20078,-2.7262,5.9957
-1.20373,-2.726,5.99537
-1.2069,-2.72669,5.99563
-1.20935,-2.72668,5.99555
-1.2189,-2.72559,5.9942
-1.22483,-2.72502,5.9935
-1.22794,-2.72469,5.9931
-1.23395,-2.72405,5.99243
-1.21145,-2.7313,5.99788
-1.24602,-2.72276,5.99084
-1.25161,-2.72326,5.99099
-1.25729,-2.72268,5.99032
-1.23469,-2.72998,5.99595
-1.27004,-2.72088,5.98862
-1.27913,-2.71963,5.98757
-1.28818,-2.7184,5.98633
-1.29125,-2.7189,5.98667
-1.29379,-2.7187,5.9865
-1.30199,-2.7177,5.98556
-1.30874,-2.71649,5.98466
-1.31193,-2.71595,5.98426
-1.31803,-2.71494,5.9835
-1.32107,-2.71443,5.98311
-1.32716,-2.7134,5.98223
-1.33321,-2.7133,5.98228
-1.34116,-2.71221,5.9815
-1.3444,-2.71163,5.98096
-1.35017,-2.71064,5.98039
-1.35303,-2.71011,5.98007
-1.35969,-2.70871,5.97916
-1.36284,-2.70808,5.97875
-1.36896,-2.70686,5.97778
-1.37499,-2.70657,5.97785
-1.37767,-2.70615,5.97764
-1.38333,-2.70508,5.97702
-1.38626,-2.70451,5.97637
-1.39497,-2.70278,5.97564
-1.40129,-2.7013,5.97483
-1.40439,-2.70061,5.97445
-1.41358,-2.69852,5.97308
-1.4166,-2.6987,5.97349
-1.41929,-2.69815,5.97326
-1.42499,-2.69689,5.97265
-1.42792,-2.69624,5.97207
-1.43665,-2.69427,5.97112
-1.44237,-2.69291,5.97052
-1.45182,-2.69042,5.96887
-1.4578,-2.68973,5.96901
-1.4606,-2.68907,5.96876
-1.46594,-2.68775,5.96826
-1.46926,-2.68688,5.96772
-1.47495,-2.68543,5.96677
-1.47789,-2.68467,5.96657
-1.48661,-2.68235,5.96569
-1.4929,-2.68052,5.96455
-1.4708,-2.68789,5.97009
-1.50164,-2.67888,5.9643
-1.50728,-2.67728,5.96372
-1.51585,-2.67483,5.96229
-1.51886,-2.67396,5.96197
-1.52455,-2.67231,5.96147
-1.52751,-2.67142,5.96117
-1.53335,-2.66964,5.96036
-1.53642,-2.66868,5.95968
-1.54243,-2.6675,5.95972
-1.54825,-2.66567,5.95913
-1.55111,-2.66477,5.95881
-1.55682,-2.66295,5.9577
-1.55975,-2.66202,5.95733
-1.56541,-2.6602,5.95682
-1.56833,-2.65925,5.95653
-1.57402,-2.65737,5.95589
-1.57678,-2.65651,5.95523
-1.58149,-2.65516,5.95485
-1.58457,-2.65409,5.95456
-1.59024,-2.65213,5.95397
-1.59319,-2.6511,5.95365
-1.58655,-2.65332,5.95545
-1.60762,-2.64604,5.95155
-1.61053,-2.645,5.95126
-1.6192,-2.64186,5.94992
-1.62681,-2.63853,5.94838
-1.62982,-2.63737,5.94795
-1.63565,-2.63519,5.94737
-1.63851,-2.6341,5.94707
-1.64725,-2.63079,5.94558
-1.65571,-2.62755,5.94462
-1.66129,-2.6254,5.94405
-1.66415,-2.62429,5.9435
-1.67415,-2.61993,5.94162
-1.68313,-2.61621,5.94054
-1.68884,-2.61387,5.93948
-1.66738,-2.62133,5.94484
-1.6846,-2.61493,5.94136
-1.7058,-2.60687,5.93745
-1.70859,-2.60573,5.93706
-1.71368,-2.6037,5.93626
-1.72409,-2.59871,5.93435
-1.72662,-2.59758,5.93417
-1.73567,-2.59363,5.93261
-1.74406,-2.58992,5.93148
-1.74957,-2.58747,5.9309
-1.75231,-2.58626,5.9306
-1.74438,-2.58892,5.93285
-1.7351,-2.59209,5.93537
-1.75368,-2.58445,5.93138
-1.74554,-2.58682,5.93347
-1.77837,-2.57389,5.92625
-1.7844,-2.57107,5.9254
-1.78717,-2.56975,5.92502
-1.79536,-2.56587,5.92407
-1.80009,-2.56377,5.92332
-1.80267,-2.56255,5.92302
-1.80804,-2.55996,5.92234
-1.81154,-2.55805,5.92167
-1.81827,-2.5544,5.92048
-1.79651,-2.56225,5.92567
-1.82954,-2.54873,5.9186
-1.83771,-2.5446,5.91755
-1.8422,-2.54248,5.91679
-1.84444,-2.54131,5.91659
-1.84991,-2.53858,5.9159
-1.82846,-2.5464,5.92135
-1.84683,-2.53796,5.91689
