ceres_tukey_x,ceres_tukey_y,ceres_tukey_theta
-2.43762,-1.96183,5.81404
-2.43958,-1.95867,5.81364
-2.44153,-1.95551,5.81323
-2.44542,-1.94919,5.81232
-2.44738,-1.94597,5.8119
-2.44925,-1.94286,5.8115
-2.45304,-1.93653,5.81058
-2.45491,-1.93335,5.81016
-2.45677,-1.93018,5.80974
-2.46046,-1.92384,5.80882
-2.46229,-1.92066,5.8084
-2.4641,-1.91748,5.80798
-2.46771,-1.91113,5.80705
-2.46948,-1.90795,5.80662
-2.47124,-1.90476,5.8062
-2.473,-1.90157,5.80576
-2.47474,-1.89838,5.80533
-2.47821,-1.89202,5.80439
-2.48162,-1.88564,5.80346
-2.4833,-1.88245,5.80302
-2.48497,-1.87925,5.80257
-2.48828,-1.87287,5.80163
-2.48993,-1.8696,5.80117
-2.4915,-1.86645,5.80073
-2.49633,-1.85689,5.79928
-2.49789,-1.85368,5.79882
-2.49943,-1.85048,5.79837
-2.501,-1.8472,5.7979
-2.50403,-1.84087,5.79695
-2.50552,-1.83765,5.79648
-2.50698,-1.83443,5.79601
-2.50994,-1.82803,5.79504
-2.51284,-1.82163,5.79406
-2.5143,-1.81828,5.79356
-2.51563,-1.81517,5.79309
-2.51701,-1.81194,5.79261
-2.51836,-1.80871,5.79212
-2.51971,-1.80548,5.79162
-2.52105,-1.80225,5.79112
-2.5224,-1.79896,5.79061
-2.52372,-1.79574,5.7901
-2.52634,-1.78942,5.7891
-2.5276,-1.78619,5.78858
-2.52886,-1.78297,5.78806
-2.53143,-1.77661,5.78704
-2.53265,-1.77339,5.78651
-2.53386,-1.77017,5.78597
-2.53505,-1.76696,5.78544
-2.53624,-1.76375,5.78489
-2.53741,-1.76054,5.78435
-2.53858,-1.75734,5.7838
-2.53973,-1.75414,5.78324
-2.54086,-1.75094,5.78268
-2.54198,-1.74775,5.78212
-2.54313,-1.7445,5.78154
-2.54422,-1.74138,5.78098
-2.54533,-1.73821,5.7804
-2.54759,-1.73195,5.77932
-2.54866,-1.72878,5.77873
-2.54971,-1.72562,5.77814
-2.55075,-1.72246,5.77755
-2.5518,-1.71924,5.77694
-2.55278,-1.71615,5.77634
-2.55378,-1.713,5.77573
-2.55478,-1.7098,5.77511
-2.55572,-1.70672,5.7745
-2.55668,-1.70359,5.77388
-2.55763,-1.70046,5.77325
-2.55858,-1.69728,5.77261
-2.55948,-1.69421,5.77198
-2.56038,-1.6911,5.77134
-2.56132,-1.68804,5.77086
-2.56325,-1.68199,5.76987
-2.56414,-1.67894,5.76938
-2.56502,-1.6759,5.76889
-2.56589,-1.67286,5.76839
-2.56677,-1.66976,5.76788
-2.5676,-1.66679,5.76739
-2.56843,-1.66376,5.76688
-2.56926,-1.66074,5.76637
-2.57099,-1.65476,5.76536
-2.57178,-1.65175,5.76484
-2.57258,-1.64869,5.76431
-2.57333,-1.64575,5.7638
-2.57409,-1.64276,5.76327
-2.57485,-1.63978,5.76274
-2.57559,-1.63679,5.76221
-2.57632,-1.63382,5.76167
-2.57703,-1.63085,5.76112
-2.57774,-1.62789,5.76058
-2.57925,-1.62203,5.75952
-2.57993,-1.61909,5.75897
-2.5806,-1.61615,5.75841
-2.58126,-1.61322,5.75785
-2.58191,-1.6103,5.75728
-2.58332,-1.60452,5.75621
-2.58395,-1.60162,5.75564
-2.58462,-1.59879,5.75526
-2.58601,-1.59313,5.75437
-2.58668,-1.59026,5.75397
-2.58731,-1.58751,5.7536
-2.58863,-1.58188,5.75271
-2.58925,-1.57908,5.75232
-2.5905,-1.57347,5.75142
-2.59109,-1.57069,5.75103
-2.59166,-1.56791,5.75064
-2.59223,-1.56513,5.75024
-2.59339,-1.5595,5.74934
-2.59451,-1.55395,5.74844
-2.59502,-1.55125,5.74805
-2.59553,-1.5485,5.74765
-2.59658,-1.54298,5.74675
-2.59759,-1.53749,5.74585
-2.59806,-1.53476,5.74544
-2.59851,-1.53204,5.74504
-2.59946,-1.52652,5.74412
-2.59988,-1.52387,5.74373
-2.6003,-1.52117,5.74332
-2.60071,-1.51847,5.74291
-2.60155,-1.51301,5.74199
-2.60192,-1.51038,5.74159
-2.6023,-1.50771,5.74118
-2.60267,-1.50505,5.74077
-2.60343,-1.4997,5.73986
-2.60377,-1.49705,5.73944
-2.60411,-1.49435,5.73902
-2.60478,-1.4891,5.73811
-2.60507,-1.48646,5.7377
-2.60535,-1.48383,5.73728
-2.60566,-1.48124,5.73699
-2.60597,-1.47861,5.73668
-2.60656,-1.47344,5.7359
-2.60683,-1.47087,5.73561
-2.60711,-1.4683,5.73531
-2.60765,-1.46313,5.73452
-2.60815,-1.45797,5.73373
-2.60838,-1.45543,5.73345
-2.60861,-1.45284,5.73315
-2.60883,-1.45036,5.73287
-2.60904,-1.44784,5.73258
-2.60944,-1.44273,5.7318
-2.60962,-1.44021,5.73152
-2.6098,-1.4377,5.73123
-2.60997,-1.4352,5.73095
-2.61013,-1.4327,5.73067
-2.61041,-1.42765,5.72989
-2.61053,-1.42516,5.72961
-2.61065,-1.42268,5.72933
-2.61086,-1.41766,5.72855
-2.61096,-1.4152,5.72828
-2.61109,-1.41013,5.72741
-2.61113,-1.40764,5.72706
-2.61121,-1.40265,5.7262
-2.61126,-1.39774,5.72536
-2.61125,-1.39528,5.725
-2.61124,-1.39283,5.72464
-2.61123,-1.38792,5.72379
-2.61119,-1.38549,5.72343
-2.61115,-1.38306,5.72308
-2.6111,-1.38065,5.72272
-2.61104,-1.37824,5.72236
-2.61093,-1.37342,5.7215
-2.61086,-1.37103,5.72114
-2.61079,-1.36866,5.72079
-2.61064,-1.36391,5.71993
-2.61046,-1.35918,5.71907
-2.61036,-1.35684,5.71872
