x,y,theta
-1.2404,-2.68284,5.97125
-1.24467,-2.68266,5.97075
-1.24885,-2.68246,5.97026
-1.25734,-2.68217,5.96926
-1.26153,-2.68195,5.96875
-1.26582,-2.68171,5.96822
-1.27433,-2.68139,5.96734
-1.27853,-2.68118,5.96694
-1.28275,-2.68103,5.96672
-1.28697,-2.68088,5.96651
-1.29119,-2.68071,5.9663
-1.2999,-2.68029,5.96558
-1.30412,-2.68012,5.96548
-1.30826,-2.67994,5.96538
-1.31689,-2.67943,5.96477
-1.32113,-2.67919,5.96466
-1.32536,-2.67893,5.96455
-1.32968,-2.67855,5.96427
-1.33383,-2.67816,5.964
-1.33807,-2.67776,5.96373
-1.34231,-2.67734,5.96345
-1.35104,-2.67648,5.96265
-1.35519,-2.67608,5.96248
-1.35944,-2.67565,5.96229
-1.36378,-2.67527,5.96228
-1.36794,-2.67488,5.96227
-1.37659,-2.67394,5.96175
-1.38523,-2.67292,5.96124
-1.38948,-2.67244,5.96122
-1.39811,-2.67132,5.9607
-1.40235,-2.67076,5.96069
-1.41097,-2.66951,5.96017
-1.41959,-2.66819,5.95965
-1.42382,-2.66755,5.95963
-1.42806,-2.66688,5.9596
-1.43666,-2.66542,5.95908
-1.44089,-2.66471,5.95906
-1.44511,-2.6639,5.95892
-1.44933,-2.66308,5.95879
-1.45355,-2.66224,5.95866
-1.46211,-2.66049,5.95802
-1.47067,-2.65868,5.95738
-1.47488,-2.65776,5.95723
-1.47908,-2.65672,5.95694
-1.48328,-2.65568,5.95664
-1.48747,-2.65458,5.95628
-1.49166,-2.65347,5.95592
-1.49585,-2.65235,5.95556
-1.50444,-2.65015,5.95468
-1.50854,-2.64902,5.95432
-1.51271,-2.64785,5.95394
-1.51697,-2.64655,5.95339
-1.52106,-2.64533,5.95297
-1.52953,-2.64291,5.95197
-1.53369,-2.6416,5.95146
-1.53785,-2.64027,5.95094
-1.54631,-2.63777,5.94991
-1.55045,-2.63641,5.94939
-1.5546,-2.63503,5.94885
-1.55874,-2.63365,5.94831
-1.56716,-2.63104,5.94726
-1.57138,-2.62961,5.94669
-1.57969,-2.62697,5.94564
-1.58807,-2.62426,5.94456
-1.5922,-2.62281,5.94401
-1.59632,-2.62136,5.94345
-1.60044,-2.6199,5.9429
-1.60455,-2.61843,5.94233
-1.60866,-2.61695,5.94176
-1.61275,-2.61546,5.94119
-1.62108,-2.6126,5.9401
-1.62517,-2.61107,5.93951
-1.63347,-2.60815,5.93841
-1.63754,-2.60659,5.9378
-1.64583,-2.6036,5.93669
-1.64988,-2.60201,5.93606
-1.65402,-2.60038,5.93543
-1.65806,-2.59869,5.93466
-1.66203,-2.5971,5.9341
-1.66608,-2.59548,5.93352
-1.67012,-2.59384,5.93294
-1.67833,-2.59062,5.93169
-1.68237,-2.58892,5.93107
-1.6864,-2.58722,5.93044
-1.69061,-2.58553,5.92997
-1.69448,-2.58395,5.92953
-1.69851,-2.58229,5.92907
-1.70254,-2.58063,5.9286
-1.70657,-2.57895,5.92813
-1.71067,-2.57722,5.92764
-1.7146,-2.57555,5.92718
-1.7186,-2.57384,5.92669
-1.72261,-2.57212,5.9262
-1.7266,-2.57029,5.92556
-1.7347,-2.56683,5.9244
-1.73866,-2.56488,5.92358
-1.74673,-2.56128,5.92224
-1.75068,-2.55932,5.92139
-1.75463,-2.55736,5.92054
-1.75857,-2.5554,5.91968
-1.76262,-2.55347,5.91899
-1.77057,-2.54993,5.91781
-1.77452,-2.54802,5.91711
-1.78252,-2.54438,5.9159
-1.78646,-2.54245,5.91519
-1.79046,-2.54047,5.91446
