x,y,theta
0.0490956,-3.16342,6.16964
0.0451676,-3.16506,6.16867
0.0353896,-3.16949,6.16783
0.0312711,-3.1711,6.16684
0.0214181,-3.17512,6.16535
0.0114218,-3.17918,6.16383
0.00743812,-3.1808,6.16283
0.00346253,-3.18245,6.16184
-0.000420593,-3.18434,6.16144
-0.00447212,-3.18587,6.16038
-0.00851222,-3.18742,6.15931
-0.0125396,-3.18898,6.15825
-0.0226517,-3.19301,6.15666
-0.0266677,-3.19461,6.15557
-0.0368081,-3.19865,6.15395
-0.0408195,-3.20029,6.15283
-0.0508942,-3.20463,6.15192
-0.0548045,-3.20656,6.1515
-0.0587519,-3.2088,6.1517
-0.062653,-3.2108,6.15158
-0.0663792,-3.21289,6.15179
-0.0702249,-3.21503,6.15201
-0.0740657,-3.21716,6.15223
-0.0841993,-3.22145,6.15178
-0.0880649,-3.22354,6.15197
-0.091923,-3.22565,6.15217
-0.0959987,-3.22793,6.1526
-0.0995663,-3.23004,6.15308
-0.103305,-3.23247,6.15416
-0.107039,-3.2349,6.15527
-0.11077,-3.2373,6.1564
-0.1148,-3.23932,6.15682
-0.118483,-3.24154,6.158
-0.12229,-3.24379,6.15918
-0.126091,-3.24602,6.16038
-0.129956,-3.24808,6.16133
-0.140206,-3.25193,6.16179
-0.144135,-3.25382,6.16252
-0.154476,-3.25741,6.16276
-0.15857,-3.25888,6.16282
-0.162654,-3.26036,6.1629
-0.166858,-3.26153,6.16245
-0.171154,-3.26285,6.16223
-0.181643,-3.26569,6.16153
-0.185733,-3.26722,6.16191
-0.196301,-3.27025,6.16181
-0.200387,-3.27178,6.16223
-0.204702,-3.27305,6.16217
-0.215259,-3.27568,6.16164
-0.2261,-3.27791,6.16045
-0.230476,-3.27906,6.16038
-0.234718,-3.2798,6.1597
-0.245627,-3.28188,6.15851
-0.249982,-3.28267,6.15782
-0.254325,-3.28349,6.15714
-0.265295,-3.2854,6.15564
-0.269611,-3.28634,6.15539
-0.280658,-3.28809,6.15391
-0.285238,-3.28868,6.15293
-0.296423,-3.29006,6.15077
-0.300857,-3.29026,6.14911
-0.305505,-3.29025,6.14698
-0.310141,-3.29029,6.14484
-0.314897,-3.2904,6.14268
-0.319376,-3.29051,6.14053
-0.32411,-3.29071,6.13836
-0.335192,-3.29233,6.13601
-0.339741,-3.29272,6.13415
-0.344231,-3.29336,6.13281
-0.355402,-3.29531,6.13095
-0.35982,-3.29627,6.13028
-0.364231,-3.29726,6.12962
-0.368635,-3.29826,6.12896
-0.373032,-3.29929,6.12831
-0.377425,-3.30034,6.12767
-0.381947,-3.30098,6.12633
-0.399929,-3.30424,6.12428
-0.404421,-3.30506,6.12323
-0.408889,-3.30597,6.12237
-0.413377,-3.30683,6.12137
-0.417966,-3.30786,6.12069
-0.422276,-3.30887,6.12003
-0.426689,-3.31007,6.11973
-0.431234,-3.31132,6.11943
-0.442269,-3.31395,6.1194
-0.446619,-3.31547,6.11989
-0.450968,-3.31701,6.12039
-0.455316,-3.31855,6.12092
-0.459643,-3.32017,6.12168
-0.47083,-3.32272,6.12196
-0.475159,-3.32432,6.12278
-0.47954,-3.32572,6.12329
-0.483915,-3.32713,6.12383
-0.488427,-3.32855,6.12439
-0.492644,-3.33003,6.1252
-0.497254,-3.3311,6.1253
-0.501538,-3.33238,6.12602
-0.506062,-3.33329,6.12612
-0.51058,-3.33421,6.12624
-0.515232,-3.33516,6.12637
-0.526527,-3.33666,6.12605
-0.531039,-3.33761,6.12623
-0.535686,-3.33858,6.12644
-0.540052,-3.33955,6.12668
-0.544504,-3.34079,6.12762
-0.549064,-3.34159,6.12787
-0.553619,-3.3424,6.12814
-0.558205,-3.34307,6.1282
-0.562764,-3.34385,6.12855
-0.567362,-3.34446,6.12864
-0.571957,-3.34509,6.12874
-0.583534,-3.34585,6.12821
-0.588104,-3.34664,6.12884
-0.592774,-3.347,6.12879
-0.597428,-3.3474,6.12882
-0.602225,-3.34777,6.12879
-0.613693,-3.34838,6.12868
-0.618319,-3.34891,6.12908
-0.623082,-3.34945,6.1295
-0.641528,-3.34991,6.12898
-0.646115,-3.35067,6.13006
-0.650789,-3.35101,6.13049
-0.655459,-3.35137,6.13095
-0.660213,-3.35131,6.13075
-0.664922,-3.35154,6.13123
-0.669717,-3.35133,6.13102
-0.674643,-3.35114,6.13083
-0.679277,-3.35098,6.13067
-0.684041,-3.35084,6.13053
-0.688798,-3.35071,6.13041
-0.693548,-3.35061,6.13031
-0.7123,-3.34951,6.12891
-0.717045,-3.34945,6.12909
-0.721784,-3.34941,6.1293
-0.72649,-3.34961,6.13012
-0.731188,-3.34981,6.13098
-0.735878,-3.35001,6.13187
-0.747742,-3.34923,6.13178
-0.759317,-3.34841,6.13174
-0.771023,-3.34751,6.13173
-0.775718,-3.34766,6.13299
-0.780472,-3.34744,6.13369
-0.792186,-3.34631,6.13392
-0.796929,-3.34608,6.13469
-0.801666,-3.34586,6.1355
-0.806458,-3.34525,6.13572
-0.811241,-3.34466,6.13597
-0.816079,-3.3437,6.13564
-0.82089,-3.34297,6.13583
-0.825693,-3.34225,6.13605
-0.830602,-3.34181,6.13701
