xji,yji,thetaji,vj,wj
-1.68234,-2.58703,5.93385,0.3,0.05
-1.68712,-2.58508,5.93335,0.3,0.05
-1.69215,-2.58298,5.93284,0.3,0.05
-1.69698,-2.58093,5.93236,0.3,0.05
-1.7017,-2.57895,5.93186,0.3,0.05
-1.70598,-2.57725,5.93136,0.3,0.05
-1.71427,-2.57398,5.93035,0.3,0.05
-1.72246,-2.57067,5.92937,0.3,0.05
-1.72656,-2.56901,5.92887,0.3,0.05
-1.73081,-2.56723,5.92837,0.3,0.05
-1.73481,-2.56561,5.92788,0.3,0.05
-1.73911,-2.56386,5.92734,0.3,0.05
-1.74671,-2.56072,5.92638,0.3,0.05
-1.75449,-2.5575,5.92539,0.3,0.05
-1.75804,-2.55613,5.92488,0.3,0.05
-1.7614,-2.55487,5.92438,0.3,0.05
-1.76887,-2.55177,5.92339,0.3,0.05
-1.7725,-2.5503,5.9229,0.3,0.05
-1.77611,-2.54884,5.9224,0.3,0.05
-1.78378,-2.54553,5.9214,0.3,0.05
-1.79148,-2.54216,5.92041,0.3,0.05
-1.79936,-2.5386,5.91941,0.3,0.05
-1.80321,-2.5369,5.91891,0.3,0.05
-1.80708,-2.53516,5.91842,0.3,0.05
-1.81124,-2.53321,5.91792,0.3,0.05
-1.81534,-2.53128,5.91742,0.3,0.05
-1.81939,-2.52937,5.91693,0.3,0.05
-1.82338,-2.52748,5.91643,0.3,0.05
-1.82749,-2.52551,5.91594,0.3,0.05
-1.83178,-2.52337,5.91544,0.3,0.05
-1.83991,-2.51934,5.91444,0.3,0.05
-1.84809,-2.51519,5.91345,0.3,0.05
-1.85635,-2.51092,5.91245,0.3,0.05
-1.86069,-2.50862,5.91195,0.3,0.05
-1.86482,-2.50646,5.91146,0.3,0.05
-1.86907,-2.50418,5.91096,0.3,0.05
-1.87318,-2.50199,5.91046,0.3,0.05
-1.88117,-2.49773,5.90946,0.3,0.05
-1.8889,-2.49356,5.90847,0.3,0.05
-1.89264,-2.49157,5.90797,0.3,0.05
-1.89627,-2.48964,5.90748,0.3,0.05
-1.90382,-2.48552,5.90648,0.3,0.05
-1.90755,-2.48349,5.90598,0.3,0.05
-1.91137,-2.48137,5.90549,0.3,0.05
-1.91901,-2.47705,5.90449,0.3,0.05
-1.92289,-2.47485,5.90399,0.3,0.05
-1.92685,-2.47256,5.9035,0.3,0.05
-1.93097,-2.47014,5.90299,0.3,0.05
-1.93492,-2.46781,5.9025,0.3,0.05
-1.94277,-2.46313,5.90151,0.3,0.05
-1.95065,-2.45834,5.90051,0.3,0.05
