,true_x,true_y,true_yaw,odo_x,odo_y,odo_yaw,z_x,z_y,u_dl,u_dtheta,z_n,u_dl_n,u_dtheta_n
125,9.555533229492205,6.8941685504502,1.260000000000001,11.461715724989862,6.359042001439759,1.0836764780623647,0.0,0.0,0.054089135393250755,0.002867137522500982,0.0,0.05,0.010000000000000002
126,9.586114920330035,6.989377584609251,1.270000000000001,11.47833668354556,6.390420402479332,1.1042553305129186,0.0,0.0,0.035508594947006526,0.020578852450553978,0.0,0.05,0.010000000000000002
127,9.615743007622566,7.084887670167721,1.280000000000001,11.52018370095504,6.473512520635002,1.1040427792743166,0.0,0.0,0.09303479438180692,-0.00021255123860197678,0.0,0.05,0.010000000000000002
128,9.644414528585761,7.1806892561966436,1.290000000000001,11.561536185123947,6.555579260152129,1.1177661051753125,0.0,0.0,0.0918965596848523,0.013723325900995976,0.0,0.05,0.010000000000000002
129,9.672126616091417,7.2767727626172505,1.300000000000001,11.59796153921833,6.630405707431598,1.1235893786507563,0.0,0.0,0.0832214133103279,0.005823273475443785,0.0,0.05,0.010000000000000002
130,9.698876498953876,7.37312858115897,1.310000000000001,11.674913691852995,6.790851413193899,1.1142723315588046,0.0,0.0,0.17794509909708467,-0.00931704709195178,0.0,0.05,0.010000000000000002
131,9.724661502207143,7.469747076320243,1.320000000000001,11.699535666760433,6.840985040695236,1.1125682981712905,0.0,0.0,0.055853578710637564,-0.0017040333875139287,0.0,0.05,0.010000000000000002
132,9.74947904737238,7.56661858633207,1.330000000000001,11.76397809797707,6.97163531062705,1.1231524413738785,0.0,0.0,0.1456788247288083,0.010584143202587843,0.0,0.05,0.010000000000000002
133,9.773326652715753,7.663733424124175,1.340000000000001,11.826189446192052,7.101201130502384,1.1337614965185165,0.0,0.0,0.14372735830972835,0.010609055144638136,0.0,0.05,0.010000000000000002
134,9.796201933496599,7.761081878293707,1.350000000000001,11.871260650749939,7.197679627278844,1.1400323558987977,0.0,0.0,0.10648715331223968,0.0062708593802811175,0.0,0.05,0.010000000000000002
135,9.818102602205903,7.858654214076373,1.360000000000001,11.906570301414792,7.274515569964063,1.1692855949784646,0.0,0.0,0.08456082732802557,0.02925323907966701,0.0,0.05,0.010000000000000002
136,9.839026468795044,7.9564406743199045,1.370000000000001,11.935908614306378,7.343615972121763,1.1813469488486141,0.0,0.0,0.07507064793699642,0.012061353870149505,0.0,0.05,0.010000000000000002
137,9.858971440894802,8.054431480459765,1.380000000000001,11.97506732072102,7.439029272543863,1.189347400699451,0.0,0.0,0.10313632815601895,0.0080004518508369,0.0,0.05,0.010000000000000002
138,9.877935524024585,8.152616833497001,1.390000000000001,12.007453152612952,7.519773064527831,1.1946687548636274,0.0,0.0,0.0869965634452462,0.005321354164176389,0.0,0.05,0.010000000000000002
139,9.895916821791884,8.250986914978128,1.400000000000001,12.053378645386932,7.6360609092120155,1.188403545483367,0.0,0.0,0.1250280516837164,-0.006265209380260365,0.0,0.05,0.010000000000000002
