ceres_huber_x,ceres_huber_y,ceres_huber_theta
-1.62093,-2.60027,5.94051
-1.62895,-2.59719,5.93941
-1.63287,-2.59543,5.93879
-1.63662,-2.59373,5.93818
-1.64458,-2.59056,5.93705
-1.64839,-2.5888,5.9364
-1.65219,-2.58703,5.93575
-1.6601,-2.5838,5.93459
-1.66387,-2.58199,5.93391
-1.67173,-2.57869,5.93272
-1.67556,-2.57683,5.932
-1.6834,-2.57351,5.93078
-1.68705,-2.57169,5.93006
-1.69072,-2.56951,5.9288
-1.69438,-2.56734,5.92752
-1.69811,-2.56514,5.92622
-1.70167,-2.56299,5.92492
-1.70539,-2.56079,5.92358
-1.71302,-2.55718,5.92173
-1.71663,-2.55501,5.92035
-1.72029,-2.55309,5.91956
-1.728,-2.54967,5.91825
-1.73164,-2.54772,5.91742
-1.73526,-2.54577,5.91658
-1.73888,-2.54382,5.91573
-1.74249,-2.54186,5.91487
-1.74608,-2.53989,5.91399
-1.74967,-2.53792,5.9131
-1.76133,-2.53293,5.91118
-1.7649,-2.53094,5.91024
-1.76845,-2.52895,5.90929
-1.77199,-2.52696,5.90833
-1.7756,-2.52493,5.90734
-1.77904,-2.52296,5.90637
-1.78256,-2.52097,5.90536
-1.78615,-2.51895,5.90434
-1.79359,-2.51547,5.90281
-1.79708,-2.51348,5.90175
-1.80057,-2.5115,5.90069
-1.80405,-2.50951,5.89961
-1.80752,-2.50753,5.89852
-1.81498,-2.50402,5.8969
-1.81843,-2.50202,5.89576
-1.82187,-2.50003,5.89462
-1.82529,-2.49804,5.89346
-1.82879,-2.49603,5.89227
-1.83215,-2.49416,5.89131
-1.83566,-2.49224,5.89031
-1.839,-2.49037,5.88932
-1.84241,-2.48847,5.88831
-1.84582,-2.48657,5.88728
-1.8493,-2.48465,5.88623
-1.85659,-2.48128,5.88468
-1.85998,-2.47939,5.8836
-1.86344,-2.47747,5.8825
-1.86673,-2.47561,5.88141
-1.87017,-2.47397,5.88094
-1.87359,-2.47233,5.88046
-1.87701,-2.47067,5.87997
-1.88042,-2.469,5.87947
-1.88381,-2.46732,5.87897
-1.88719,-2.46562,5.87845
-1.89056,-2.46392,5.87793
-1.89784,-2.46054,5.87672
-1.90124,-2.45897,5.87665
-1.90464,-2.45738,5.87657
-1.90802,-2.45577,5.87649
-1.91145,-2.45408,5.87631
-1.91867,-2.45095,5.87605
-1.92205,-2.4494,5.87628
-1.9255,-2.44779,5.87649
-1.93652,-2.44281,5.87571
-1.93986,-2.44119,5.87592
-1.94319,-2.43955,5.87613
-1.94651,-2.43789,5.87634
-1.94974,-2.43589,5.87602
-1.95295,-2.43389,5.87569
-1.95616,-2.43189,5.87535
-1.95944,-2.42983,5.87499
-1.96254,-2.42785,5.87464
-1.96571,-2.42581,5.87427
-1.96887,-2.42378,5.87389
-1.97202,-2.42173,5.87351
-1.98268,-2.4159,5.8721
-1.9858,-2.41384,5.87168
-1.9889,-2.41177,5.87125
-1.992,-2.40969,5.87081
-1.99508,-2.4076,5.87036
-1.99815,-2.4055,5.8699
-2.00499,-2.40141,5.86892
-2.01165,-2.39736,5.86794
-2.01835,-2.39324,5.86693
-2.02145,-2.39134,5.86705
-2.02453,-2.38944,5.86717
-2.03125,-2.38548,5.86679
-2.0343,-2.38353,5.8669
-2.03735,-2.38158,5.86701
-2.04037,-2.37959,5.86711
-2.04338,-2.37759,5.86721
-2.04637,-2.37558,5.86731
-2.04936,-2.37356,5.8674
-2.05234,-2.37152,5.86749
-2.05537,-2.36943,5.86756
-2.0618,-2.3652,5.86716
-2.06481,-2.36308,5.86722
-2.06773,-2.36098,5.8673
-2.07056,-2.35892,5.86738
-2.07345,-2.35679,5.86745
-2.07981,-2.35235,5.86702
-2.08256,-2.34986,5.86655
-2.08539,-2.34761,5.86672
-2.08821,-2.34535,5.86689
-2.09108,-2.34303,5.86705
-2.09721,-2.33838,5.86666
-2.09999,-2.33611,5.86698
-2.10323,-2.3335,5.86723
-2.10551,-2.33154,5.86762
-2.10815,-2.32892,5.8674
-2.11412,-2.32383,5.86667
-2.11672,-2.32118,5.86643
-2.12268,-2.31601,5.86566
-2.12518,-2.31341,5.8654
-2.13101,-2.30824,5.86462
-2.13353,-2.30557,5.86433
-2.13604,-2.3029,5.86402
-2.14177,-2.29769,5.86321
-2.14424,-2.29501,5.86288
-2.1467,-2.29233,5.86254
-2.15235,-2.28708,5.86169
-2.15477,-2.28439,5.86133
-2.15718,-2.28169,5.86096
-2.15957,-2.27899,5.86059
-2.16194,-2.27628,5.8602
-2.16419,-2.27326,5.85929
-2.1665,-2.27019,5.85834
-2.17179,-2.26465,5.85689
-2.17711,-2.25907,5.8554
-2.18239,-2.2535,5.85387
-2.18455,-2.25052,5.85283
-2.1867,-2.24754,5.85178
-2.1919,-2.24202,5.8502
-2.19402,-2.23908,5.8491
-2.19918,-2.23359,5.84747
-2.20127,-2.23067,5.84633
-2.20638,-2.22522,5.84466
-2.20844,-2.22232,5.84344
-2.21055,-2.21938,5.8422
-2.2156,-2.214,5.84044
-2.21756,-2.21119,5.83918
-2.21957,-2.20835,5.83789
-2.22169,-2.20576,5.83723
-2.22379,-2.20319,5.83656
-2.22588,-2.20063,5.83588
-2.22803,-2.19802,5.83517
-2.23004,-2.19552,5.83448
-2.23211,-2.19297,5.83377
-2.23415,-2.19042,5.83305
-2.23607,-2.18757,5.83179
-2.23799,-2.18474,5.83052
-2.2399,-2.18193,5.82922
-2.24181,-2.17914,5.82792
-2.24371,-2.17636,5.82659
-2.2456,-2.17361,5.82525
-2.25042,-2.16849,5.82337
-2.25229,-2.16578,5.82198
-2.25708,-2.16073,5.82005
-2.25894,-2.15806,5.81861
-2.26084,-2.15536,5.81714
-2.26562,-2.15061,5.81559
-2.26754,-2.14816,5.81451
-2.2695,-2.14581,5.81368
-2.27151,-2.14343,5.81283
-2.27341,-2.14116,5.81198
-2.27824,-2.13656,5.81061
-2.28018,-2.13427,5.80972
-2.28211,-2.13198,5.80883
-2.28692,-2.12745,5.80741
-2.29175,-2.12287,5.80597
-2.29361,-2.12067,5.80503
-2.29551,-2.11843,5.80407
-2.29741,-2.1162,5.80311
