ceres_null_x,ceres_null_y,ceres_null_theta
-0.943436,-2.81606,6.05878
-0.947644,-2.81577,6.05874
-0.956517,-2.81518,6.0582
-0.965382,-2.81451,6.05765
-0.969661,-2.81414,6.05762
-0.978505,-2.81336,6.05708
-0.982764,-2.81291,6.05705
-0.991585,-2.812,6.05652
-1.0004,-2.81102,6.056
-1.00464,-2.81048,6.05598
-1.00887,-2.80992,6.05596
-1.01773,-2.8081,6.05431
-1.02202,-2.8068,6.05316
-1.0263,-2.80551,6.05199
-1.03057,-2.80422,6.05082
-1.03482,-2.80292,6.04963
-1.04362,-2.80108,6.04792
-1.0524,-2.79922,6.04619
-1.05662,-2.7979,6.04495
-1.06083,-2.79659,6.04369
-1.06504,-2.79528,6.04243
-1.06923,-2.79396,6.04115
-1.07341,-2.79265,6.03987
-1.07758,-2.79134,6.03858
-1.08638,-2.78985,6.03764
-1.09045,-2.78891,6.03722
-1.09459,-2.78794,6.03678
-1.09882,-2.78695,6.03633
-1.10286,-2.78598,6.0359
-1.11154,-2.78409,6.03451
-1.11567,-2.7828,6.03361
-1.11979,-2.78151,6.03269
-1.12842,-2.77957,6.03126
-1.13251,-2.77825,6.03031
-1.13659,-2.77692,6.02936
-1.14066,-2.7756,6.0284
-1.14924,-2.77361,6.02691
-1.15338,-2.77227,6.0259
-1.16185,-2.77029,6.02439
-1.17039,-2.76826,6.02284
-1.1744,-2.76692,6.02179
-1.17841,-2.76557,6.02072
-1.18241,-2.76422,6.01965
-1.18639,-2.76287,6.01856
-1.19037,-2.76152,6.01747
-1.19433,-2.76016,6.01636
-1.20278,-2.75811,6.01473
-1.20671,-2.75674,6.01358
-1.21513,-2.75466,6.01191
-1.21904,-2.75328,6.01073
-1.22743,-2.75119,6.00902
-1.23131,-2.74979,6.0078
-1.23528,-2.7484,6.00656
-1.23914,-2.74702,6.00531
-1.24291,-2.74567,6.00407
-1.24676,-2.7443,6.0028
-1.2506,-2.74293,6.00152
-1.25892,-2.74076,5.99953
-1.26274,-2.73929,5.99803
-1.26655,-2.73783,5.99651
-1.27054,-2.73646,5.99519
-1.27416,-2.73514,5.9939
-1.27796,-2.7338,5.99257
-1.28175,-2.73247,5.99123
-1.28552,-2.73114,5.98988
-1.28938,-2.7298,5.9885
-1.29309,-2.7289,5.98809
-1.29687,-2.72797,5.98767
-1.30065,-2.72703,5.98725
-1.30441,-2.72608,5.98681
-1.31267,-2.72444,5.98586
-1.31643,-2.7233,5.98514
-1.32467,-2.72144,5.98389
-1.32841,-2.72028,5.98313
-1.33213,-2.71912,5.98237
-1.33586,-2.71795,5.98159
-1.33967,-2.71687,5.98104
-1.34778,-2.71507,5.97999
-1.35148,-2.71398,5.97943
-1.35965,-2.71211,5.97834
-1.36334,-2.71099,5.97775
-1.36709,-2.70985,5.97714
-1.37514,-2.70792,5.97603
-1.38326,-2.70595,5.9749
-1.38698,-2.70477,5.97424
-1.39051,-2.70361,5.9736
-1.39859,-2.70158,5.97243
-1.40218,-2.70039,5.97175
-1.40577,-2.69919,5.97106
-1.4138,-2.6971,5.96985
-1.41736,-2.69587,5.96914
-1.42536,-2.69374,5.9679
-1.42899,-2.69248,5.96715
-1.43697,-2.69032,5.96589
-1.4404,-2.68909,5.96512
-1.4439,-2.68751,5.96382
-1.44738,-2.68593,5.96249
-1.45095,-2.68435,5.96115
-1.45432,-2.6828,5.9598
-1.45787,-2.68122,5.95842
-1.46568,-2.6788,5.95653
-1.46911,-2.67725,5.95511
-1.47257,-2.67596,5.95428
-1.48047,-2.67376,5.95292
-1.4839,-2.67244,5.95205
-1.48733,-2.67114,5.95117
-1.49075,-2.66983,5.95028
-1.49416,-2.66852,5.94937
-1.49756,-2.66721,5.94846
-1.50095,-2.66589,5.94753
-1.51322,-2.66276,5.94556
-1.51659,-2.66145,5.94458
-1.51995,-2.66013,5.94359
-1.5233,-2.65881,5.94259
-1.52673,-2.65748,5.94156
-1.52997,-2.65619,5.94055
-1.5333,-2.65489,5.93951
-1.53671,-2.65358,5.93845
-1.54438,-2.65139,5.93688
-1.54768,-2.6501,5.93579
-1.55098,-2.64883,5.93469
-1.55428,-2.64757,5.93357
-1.55756,-2.6463,5.93245
-1.56529,-2.64413,5.9308
-1.56855,-2.64287,5.92963
-1.5718,-2.64161,5.92845
-1.57505,-2.64036,5.92726
-1.57838,-2.6391,5.92605
-1.58154,-2.63797,5.92506
-1.58487,-2.63681,5.92404
-1.58802,-2.63568,5.92302
-1.59124,-2.63455,5.92198
-1.59447,-2.63342,5.92094
-1.59777,-2.63228,5.91987
-1.60536,-2.63031,5.91829
-1.60857,-2.6292,5.9172
-1.61186,-2.62808,5.91608
-1.61496,-2.627,5.91497
-1.61821,-2.62625,5.91471
-1.62146,-2.6255,5.91444
-1.62469,-2.62474,5.91417
-1.62791,-2.62396,5.91389
-1.63112,-2.62317,5.91361
-1.63432,-2.62237,5.91332
-1.63752,-2.62156,5.91303
-1.64515,-2.61969,5.91206
-1.64838,-2.61907,5.91238
-1.6516,-2.61844,5.91271
-1.6548,-2.61779,5.91303
-1.65808,-2.61706,5.91328
-1.66564,-2.61546,5.91344
-1.66884,-2.61486,5.91409
-1.67212,-2.61422,5.91474
-1.68404,-2.6113,5.91441
-1.68721,-2.61062,5.91507
-1.69036,-2.60992,5.91574
-1.69351,-2.6092,5.91641
-1.69656,-2.60783,5.91609
-1.6996,-2.60646,5.91575
-1.70263,-2.6051,5.91541
-1.70573,-2.6037,5.91505
-1.70865,-2.60235,5.9147
-1.71164,-2.60097,5.91433
-1.71462,-2.5996,5.91396
-1.71759,-2.59822,5.91358
-1.72923,-2.59413,5.91217
-1.73218,-2.59275,5.91175
-1.73512,-2.59136,5.91133
