ceres_cauchy_x,ceres_cauchy_y,ceres_cauchy_theta
-0.0285502,-2.18378,6.17695
-0.0305765,-2.18767,6.17592
-0.031593,-2.18959,6.17539
-0.0326234,-2.19153,6.17486
-0.0347384,-2.19546,6.17382
-0.035805,-2.1974,6.17328
-0.0379995,-2.20143,6.17229
-0.0390901,-2.20341,6.1718
-0.0401678,-2.20535,6.17133
-0.0412744,-2.20735,6.17084
-0.0423972,-2.20934,6.17035
-0.0435299,-2.21134,6.16986
-0.0446719,-2.21334,6.16937
-0.045823,-2.21534,6.16888
-0.048192,-2.21939,6.16788
-0.0506074,-2.22345,6.16688
-0.0518155,-2.22547,6.16638
-0.0530331,-2.22749,6.16587
-0.0542655,-2.2295,6.16537
-0.0555027,-2.23152,6.16486
-0.0580484,-2.23562,6.16385
-0.0593153,-2.23764,6.16333
-0.0605932,-2.23967,6.16281
-0.0632236,-2.24379,6.16179
-0.0645179,-2.24586,6.16135
-0.0658243,-2.24793,6.1609
-0.067143,-2.25001,6.16045
-0.0684727,-2.25208,6.16
-0.0712231,-2.25628,6.15905
-0.0725841,-2.25836,6.15859
-0.0739576,-2.26044,6.15814
-0.0768026,-2.26465,6.15718
-0.0796951,-2.26886,6.15622
-0.0826355,-2.27308,6.15525
-0.0840922,-2.27518,6.15478
-0.0855583,-2.27727,6.15431
-0.0886198,-2.28155,6.15333
-0.0900928,-2.28362,6.15287
-0.0916119,-2.28573,6.15239
-0.0947361,-2.28998,6.15141
-0.0979365,-2.29429,6.15042
-0.0994676,-2.29637,6.14994
-0.101043,-2.29849,6.14946
-0.102629,-2.30061,6.14897
-0.104226,-2.30274,6.14848
-0.10753,-2.30705,6.14749
-0.110867,-2.31139,6.14658
-0.114253,-2.31573,6.14566
-0.115989,-2.31799,6.14523
-0.117596,-2.32007,6.14483
-0.119289,-2.32225,6.14441
-0.121029,-2.32447,6.14398
-0.124521,-2.32876,6.14307
-0.126258,-2.33093,6.14265
-0.128011,-2.33309,6.14223
-0.131637,-2.33742,6.14131
-0.133424,-2.33959,6.14088
-0.135263,-2.34179,6.14044
-0.13895,-2.34609,6.13952
-0.140787,-2.34826,6.13909
-0.142634,-2.35043,6.13866
-0.146489,-2.35481,6.13772
-0.148314,-2.35697,6.13738
-0.150194,-2.35918,6.13703
-0.152089,-2.36137,6.13667
-0.153998,-2.36356,6.13632
-0.157951,-2.36791,6.13547
-0.161954,-2.37226,6.13461
-0.163924,-2.37445,6.13426
-0.165907,-2.37663,6.1339
-0.1679,-2.37881,6.13355
-0.169906,-2.38098,6.13319
-0.174052,-2.38529,6.13233
-0.176093,-2.38746,6.13198
-0.178146,-2.38963,6.13162
-0.182393,-2.39393,6.13076
-0.184487,-2.3961,6.13041
-0.186605,-2.39825,6.13001
-0.188737,-2.40039,6.1296
-0.190881,-2.40253,6.1292
-0.193035,-2.40465,6.1288
-0.197462,-2.40889,6.12789
-0.199651,-2.411,6.12749
-0.201898,-2.41316,6.12707
-0.206371,-2.41733,6.12617
-0.208612,-2.41943,6.12575
-0.213207,-2.42361,6.12482
-0.217853,-2.4278,6.12389
-0.222546,-2.43197,6.12296
-0.224871,-2.43405,6.12253
-0.227209,-2.43613,6.12209
-0.229564,-2.43821,6.12164
-0.231976,-2.44031,6.12118
-0.236765,-2.4444,6.12024
-0.241648,-2.44852,6.11929
-0.24407,-2.45058,6.11884
-0.246507,-2.45263,6.11838
-0.248954,-2.45467,6.11793
-0.251414,-2.45672,6.11747
-0.253888,-2.45877,6.11702
-0.256371,-2.46081,6.11656
-0.258867,-2.46286,6.1161
-0.261373,-2.4649,6.11564
-0.263894,-2.46694,6.11518
-0.266426,-2.46898,6.11472
-0.268972,-2.47102,6.11426
-0.271529,-2.47305,6.11379
-0.274151,-2.47511,6.11332
-0.276679,-2.47708,6.11287
-0.281945,-2.4811,6.1119
-0.28456,-2.4831,6.11143
-0.287194,-2.48508,6.11094
-0.292553,-2.48907,6.11
-0.295217,-2.49105,6.10955
-0.297895,-2.49304,6.1091
-0.300584,-2.49502,6.10864
-0.303284,-2.497,6.10819
