ceres_cauchy_x,ceres_cauchy_y,ceres_cauchy_theta
-2.60598,-1.36129,5.72234
-2.60584,-1.3589,5.72188
-2.60568,-1.35651,5.7214
-2.60552,-1.35412,5.72092
-2.60533,-1.35168,5.72039
-2.60514,-1.34933,5.71987
-2.60494,-1.34695,5.71935
-2.60474,-1.34458,5.71882
-2.60436,-1.3399,5.71779
-2.60415,-1.33756,5.71726
-2.60392,-1.33518,5.71672
-2.60351,-1.33062,5.7157
-2.60306,-1.32601,5.71465
-2.60282,-1.32378,5.71413
-2.60257,-1.32151,5.7136
-2.60207,-1.31702,5.71256
-2.60179,-1.31474,5.71201
-2.60152,-1.31255,5.71149
-2.60097,-1.30811,5.71044
-2.60042,-1.3038,5.70941
-2.60013,-1.30163,5.70887
-2.59983,-1.29947,5.70833
-2.59952,-1.29732,5.70779
-2.59921,-1.29518,5.70724
-2.59889,-1.29306,5.7067
-2.5986,-1.29093,5.70622
-2.598,-1.28682,5.70526
-2.59737,-1.28266,5.70428
-2.59706,-1.28063,5.70381
-2.59676,-1.27865,5.70335
-2.59644,-1.27664,5.70288
-2.59611,-1.27463,5.70241
-2.59578,-1.27264,5.70194
-2.59544,-1.27066,5.70147
-2.59473,-1.26669,5.70047
-2.59437,-1.26469,5.69997
-2.59401,-1.26277,5.69948
-2.59326,-1.25884,5.69848
-2.5929,-1.25695,5.69799
-2.59252,-1.25504,5.6975
-2.59211,-1.2531,5.69694
-2.59171,-1.25117,5.69638
-2.59129,-1.24925,5.6958
-2.59088,-1.24734,5.69523
-2.59045,-1.24544,5.69465
-2.59003,-1.24355,5.69407
-2.5896,-1.24167,5.69349
-2.58916,-1.2398,5.69291
-2.5887,-1.23794,5.69232
-2.58826,-1.23611,5.69177
-2.5878,-1.23425,5.69121
-2.58692,-1.23069,5.69016
-2.58646,-1.22889,5.6896
-2.58599,-1.22711,5.68904
-2.58552,-1.22534,5.68846
-2.58505,-1.22358,5.68791
-2.58414,-1.22013,5.68686
-2.58365,-1.2184,5.68631
-2.58316,-1.21669,5.68575
-2.58268,-1.21499,5.68519
-2.58173,-1.21165,5.68413
-2.58123,-1.20995,5.68356
-2.58074,-1.20832,5.68301
-2.57978,-1.20507,5.68194
-2.57927,-1.20346,5.68138
-2.57876,-1.20185,5.68081
-2.57826,-1.20025,5.68024
-2.57775,-1.19867,5.67967
-2.57723,-1.1971,5.67909
-2.57672,-1.19554,5.67852
-2.57622,-1.194,5.67794
-2.57571,-1.19247,5.67737
-2.57471,-1.18946,5.67629
-2.5742,-1.18797,5.67571
-2.57367,-1.18646,5.67511
-2.57315,-1.18502,5.67454
-2.57263,-1.18357,5.67395
-2.57162,-1.18071,5.67287
-2.5711,-1.1793,5.67228
-2.57058,-1.17789,5.67169
-2.57005,-1.17648,5.67109
-2.56952,-1.1751,5.6705
-2.5685,-1.17238,5.6694
-2.56751,-1.16974,5.66838
-2.567,-1.16844,5.66785
-2.5665,-1.16715,5.66733
-2.56551,-1.16459,5.6663
-2.56501,-1.16332,5.66577
-2.56401,-1.16083,5.66474
-2.56351,-1.1596,5.66421
-2.56301,-1.15838,5.66368
-2.5625,-1.15718,5.66314
-2.5615,-1.15479,5.66211
-2.56098,-1.15362,5.66157
-2.56047,-1.15246,5.66103
-2.55947,-1.15017,5.65999
-2.55848,-1.14792,5.65895
-2.55798,-1.14684,5.65845
-2.55748,-1.14574,5.65794
-2.55651,-1.14361,5.65695
-2.55603,-1.14257,5.65645
-2.55554,-1.14154,5.65595
-2.55506,-1.14051,5.65545
-2.55457,-1.13949,5.65495
-2.55407,-1.13848,5.65444
-2.55357,-1.13747,5.65394
-2.55307,-1.13648,5.65343
-2.55256,-1.1355,5.65292
-2.55205,-1.13451,5.6524
-2.5511,-1.13261,5.65145
-2.55061,-1.13168,5.65097
-2.55012,-1.13075,5.65049
-2.54963,-1.12983,5.65001
-2.54865,-1.12799,5.64901
-2.5477,-1.12623,5.64804
-2.54721,-1.12535,5.64755
-2.54672,-1.12449,5.64707
-2.54624,-1.12363,5.64658
-2.54575,-1.12278,5.64608
-2.54527,-1.12194,5.64559
-2.54479,-1.12111,5.6451
-2.54431,-1.12028,5.64459
-2.54385,-1.11949,5.6441
-2.5434,-1.1187,5.6436
-2.54293,-1.11791,5.6431
-2.54202,-1.11636,5.6421
-2.54156,-1.1156,5.6416
-2.5411,-1.11485,5.64109
-2.54064,-1.11412,5.64058
-2.54019,-1.11339,5.64007
-2.53975,-1.11268,5.63956
-2.53888,-1.11129,5.63859
-2.53845,-1.11062,5.63811
-2.53802,-1.10996,5.63763
-2.53717,-1.10865,5.63665
-2.53676,-1.10802,5.63617
-2.53635,-1.1074,5.63567
-2.53593,-1.10678,5.63517
-2.53552,-1.10617,5.63467
